question_id,node_id,node_name,cognitive_operation,cognitive_demand,reasoning
Q_M_20_017,N_M_21_002,Recurrence Collapse,"Recognize that a high-power symmetric expression in roots (αⁿ + βⁿ or αⁿ − βⁿ) can be reduced via the recurrence relation Pₙ = (sum of roots)·Pₙ₋₁ − (product of roots)·Pₙ₋₂, then simplify the given composite expression to a constant.",Formula with Judgment to Build Then Solve,"When the expression directly telescopes via the recurrence (e.g., (a₁₀ − 2a₈)/2a₉), it is retrieval_to_setup: recall the recurrence and identify what to substitute. When the expression involves ratios of sums of different-indexed terms (e.g., (α²³ + β²³ + α¹⁴ + β¹⁴)/(α¹⁵ + β¹⁵ + α¹⁰ + β¹⁰)), the student must first construct a representation that factors out common recurrence applications, making it setup_heavy."
Q_M_20_018,N_M_21_008,Root Location via Discriminant-Sign Analysis,"Determine parameter ranges for which roots satisfy positional constraints (both roots negative, one root in (a,b), roots in a given interval) by combining discriminant ≥ 0, sign of f(a), f(b), and axis-of-symmetry conditions.",Build Then Solve,"Student must construct a multi-condition system (D ≥ 0, f(a) conditions, vertex location, leading coefficient sign) and intersect the resulting inequalities. The setup—knowing which conditions to impose—is the entire challenge."
Q_M_20_019,N_M_21_005,Exponential-to-Quadratic Substitution,"Recognize that an equation in exponential terms (eˣ, 2ˣ, 3ˣ, 8ˣ) can be transformed into a polynomial (usually quadratic or biquadratic) via substitution t = eˣ or similar, solve the polynomial, then map solutions back through the logarithm with domain filtering (t > 0).",Formula with Judgment,"The key step is recognizing the substitution t = eˣ and that the equation is polynomial in t. Once this setup is done, solving the quadratic and mapping back is standard. The difficulty lies in identifying what to substitute, not in the computation."
Q_M_20_020,N_M_21_014,Quadratic Reconstruction from Constraints,"Build or identify a quadratic polynomial from indirect constraints (function values at specific points, remainder conditions, or functional equations) rather than from explicit coefficients, then extract the required root or coefficient information.",Build and Work Backwards,"Student must work backwards from functional constraints (f(a) = b, remainder conditions, functional equations) to determine coefficients, then extract root information. The direction of reasoning is inverted from the typical 'given equation, find roots' pattern."
Q_M_20_021,N_M_21_003,Piecewise Decomposition via Absolute Value,"Decompose an equation involving absolute values into cases based on sign changes of the arguments, solve each piecewise-linear or piecewise-quadratic system, then validate solutions against domain constraints of each case.",Build Then Solve,"The primary cognitive load is in constructing the correct case decomposition: identifying breakpoints, setting up each piecewise equation, solving each case, and validating solutions against case constraints. Computation within each case is straightforward."
Q_M_20_022,N_M_21_003,Piecewise Decomposition via Absolute Value,"Decompose an equation involving absolute values into cases based on sign changes of the arguments, solve each piecewise-linear or piecewise-quadratic system, then validate solutions against domain constraints of each case.",Build Then Solve,"The primary cognitive load is in constructing the correct case decomposition: identifying breakpoints, setting up each piecewise equation, solving each case, and validating solutions against case constraints. Computation within each case is straightforward."
Q_M_20_023,N_M_21_010,Hidden Quadratic in Disguised Variable,"Recognize that a non-standard equation (involving √x, x + 1/x, [x], or a composite expression) conceals a quadratic in a transformed variable, perform the substitution, solve, then reverse-map with domain checks.",Build Then Solve,"The entire difficulty is in recognizing the disguise and performing the correct substitution. Once the quadratic is revealed, solving is standard. The cognitive work is representational."
Q_M_20_024,N_M_21_009,Optimization of Root-Dependent Expressions,"Express a target quantity (sum of squares, sum of cubes, or difference of roots) in terms of Vieta's sums using Newton's identities or direct expansion, then minimize or maximize the resulting single-variable function of the parameter.",Build and Work Backwards,"Student must first express the target quantity (sum of squares, cubes) in terms of sum and product of roots via Newton's identities (setup), then reformulate as a single-variable function and optimize (inversion of the problem from 'find roots' to 'minimize an expression in the parameter')."
Q_M_20_025,N_M_21_002,Recurrence Collapse,"Recognize that a high-power symmetric expression in roots (αⁿ + βⁿ or αⁿ − βⁿ) can be reduced via the recurrence relation Pₙ = (sum of roots)·Pₙ₋₁ − (product of roots)·Pₙ₋₂, then simplify the given composite expression to a constant.",Formula with Judgment to Build Then Solve,"When the expression directly telescopes via the recurrence (e.g., (a₁₀ − 2a₈)/2a₉), it is retrieval_to_setup: recall the recurrence and identify what to substitute. When the expression involves ratios of sums of different-indexed terms (e.g., (α²³ + β²³ + α¹⁴ + β¹⁴)/(α¹⁵ + β¹⁵ + α¹⁰ + β¹⁰)), the student must first construct a representation that factors out common recurrence applications, making it setup_heavy."
Q_M_20_026,N_M_21_009,Optimization of Root-Dependent Expressions,"Express a target quantity (sum of squares, sum of cubes, or difference of roots) in terms of Vieta's sums using Newton's identities or direct expansion, then minimize or maximize the resulting single-variable function of the parameter.",Build and Work Backwards,"Student must first express the target quantity (sum of squares, cubes) in terms of sum and product of roots via Newton's identities (setup), then reformulate as a single-variable function and optimize (inversion of the problem from 'find roots' to 'minimize an expression in the parameter')."
Q_M_20_027,N_M_21_005,Exponential-to-Quadratic Substitution,"Recognize that an equation in exponential terms (eˣ, 2ˣ, 3ˣ, 8ˣ) can be transformed into a polynomial (usually quadratic or biquadratic) via substitution t = eˣ or similar, solve the polynomial, then map solutions back through the logarithm with domain filtering (t > 0).",Formula with Judgment,"The key step is recognizing the substitution t = eˣ and that the equation is polynomial in t. Once this setup is done, solving the quadratic and mapping back is standard. The difficulty lies in identifying what to substitute, not in the computation."
Q_M_20_028,N_M_21_002,Recurrence Collapse,"Recognize that a high-power symmetric expression in roots (αⁿ + βⁿ or αⁿ − βⁿ) can be reduced via the recurrence relation Pₙ = (sum of roots)·Pₙ₋₁ − (product of roots)·Pₙ₋₂, then simplify the given composite expression to a constant.",Formula with Judgment to Build Then Solve,"When the expression directly telescopes via the recurrence (e.g., (a₁₀ − 2a₈)/2a₉), it is retrieval_to_setup: recall the recurrence and identify what to substitute. When the expression involves ratios of sums of different-indexed terms (e.g., (α²³ + β²³ + α¹⁴ + β¹⁴)/(α¹⁵ + β¹⁵ + α¹⁰ + β¹⁰)), the student must first construct a representation that factors out common recurrence applications, making it setup_heavy."
Q_M_20_029,N_M_21_015,Linked-Equation Root Threading,"Given two or more quadratic equations sharing one root (α is a root of both), use Vieta's formulas on each equation to express the non-shared roots (β, γ) in terms of α and the parameter, then combine to find the target expression.",Build and Work Backwards,"Student must construct the setup across two equations sharing a root, express non-shared roots via Vieta's, and then work backwards from the target expression to determine the common root or parameter. This requires both construction and inversion."
Q_M_20_030,N_M_21_009,Optimization of Root-Dependent Expressions,"Express a target quantity (sum of squares, sum of cubes, or difference of roots) in terms of Vieta's sums using Newton's identities or direct expansion, then minimize or maximize the resulting single-variable function of the parameter.",Build and Work Backwards,"Student must first express the target quantity (sum of squares, cubes) in terms of sum and product of roots via Newton's identities (setup), then reformulate as a single-variable function and optimize (inversion of the problem from 'find roots' to 'minimize an expression in the parameter')."
Q_M_20_031,N_M_21_006,Conjugate-Pair Summation Trick,"Recognize that (√a + √b)ˣ + (√a − √b)ˣ = k can be solved by substituting t = (√a + √b)ˣ, noting the second term is 1/t (since the product of conjugate bases is 1 or a known constant), reducing to a quadratic in t.",Formula with Judgment,"Student must recognize the conjugate structure and recall that the product of conjugate surds equals 1, enabling the substitution t + 1/t = 10. The rest is routine quadratic solving."
Q_M_20_032,N_M_21_012,Sign-Chart Inequality Resolution,"Solve rational or polynomial inequalities by factoring, identifying critical points, and constructing a sign chart to determine solution intervals, often with domain exclusions.",Build Then Solve,"Student must factor the expression, identify all critical points (including those from absolute values or excluded domains), construct the sign chart, and handle open/closed interval endpoints. The reasoning is almost entirely in the setup phase."
Q_M_20_033,N_M_21_002,Recurrence Collapse,"Recognize that a high-power symmetric expression in roots (αⁿ + βⁿ or αⁿ − βⁿ) can be reduced via the recurrence relation Pₙ = (sum of roots)·Pₙ₋₁ − (product of roots)·Pₙ₋₂, then simplify the given composite expression to a constant.",Formula with Judgment to Build Then Solve,"When the expression directly telescopes via the recurrence (e.g., (a₁₀ − 2a₈)/2a₉), it is retrieval_to_setup: recall the recurrence and identify what to substitute. When the expression involves ratios of sums of different-indexed terms (e.g., (α²³ + β²³ + α¹⁴ + β¹⁴)/(α¹⁵ + β¹⁵ + α¹⁰ + β¹⁰)), the student must first construct a representation that factors out common recurrence applications, making it setup_heavy."
Q_M_20_034,N_M_21_003,Piecewise Decomposition via Absolute Value,"Decompose an equation involving absolute values into cases based on sign changes of the arguments, solve each piecewise-linear or piecewise-quadratic system, then validate solutions against domain constraints of each case.",Build Then Solve,"The primary cognitive load is in constructing the correct case decomposition: identifying breakpoints, setting up each piecewise equation, solving each case, and validating solutions against case constraints. Computation within each case is straightforward."
Q_M_20_035,N_M_21_011,Roots of Unity / Cyclotomic Exploitation,"Recognize that a polynomial equation relates to roots of unity or cyclotomic polynomials, use the property that ωⁿ = 1 to collapse high-power expressions to known values.",Reverse Engineer,"Student must recognize the polynomial as cyclotomic, identify the periodicity of the roots, reduce large exponents modulo the period, and synthesize the result using properties never typically taught together (group theory intuition + polynomial roots + modular arithmetic). This requires framework synthesis."
Q_M_20_036,N_M_21_003,Piecewise Decomposition via Absolute Value,"Decompose an equation involving absolute values into cases based on sign changes of the arguments, solve each piecewise-linear or piecewise-quadratic system, then validate solutions against domain constraints of each case.",Build Then Solve,"The primary cognitive load is in constructing the correct case decomposition: identifying breakpoints, setting up each piecewise equation, solving each case, and validating solutions against case constraints. Computation within each case is straightforward."
Q_M_20_037,N_M_21_002,Recurrence Collapse,"Recognize that a high-power symmetric expression in roots (αⁿ + βⁿ or αⁿ − βⁿ) can be reduced via the recurrence relation Pₙ = (sum of roots)·Pₙ₋₁ − (product of roots)·Pₙ₋₂, then simplify the given composite expression to a constant.",Formula with Judgment to Build Then Solve,"When the expression directly telescopes via the recurrence (e.g., (a₁₀ − 2a₈)/2a₉), it is retrieval_to_setup: recall the recurrence and identify what to substitute. When the expression involves ratios of sums of different-indexed terms (e.g., (α²³ + β²³ + α¹⁴ + β¹⁴)/(α¹⁵ + β¹⁵ + α¹⁰ + β¹⁰)), the student must first construct a representation that factors out common recurrence applications, making it setup_heavy."
Q_M_20_038,N_M_21_014,Quadratic Reconstruction from Constraints,"Build or identify a quadratic polynomial from indirect constraints (function values at specific points, remainder conditions, or functional equations) rather than from explicit coefficients, then extract the required root or coefficient information.",Build and Work Backwards,"Student must work backwards from functional constraints (f(a) = b, remainder conditions, functional equations) to determine coefficients, then extract root information. The direction of reasoning is inverted from the typical 'given equation, find roots' pattern."
Q_M_20_039,N_M_21_001,Greatest Integer Interaction,"Solve equations or inequalities where [x] (greatest integer function) interacts with polynomial or exponential terms, requiring case-by-case analysis on integer intervals and validating that solutions are consistent with the assumed integer part.",Build Then Solve,"Student must partition the real line into unit intervals, substitute [x] = n in each, solve the resulting standard equation, and check consistency. The cognitive load is entirely in constructing and managing the case structure."
Q_M_20_039,N_M_21_005,Exponential-to-Quadratic Substitution,"Recognize that an equation in exponential terms (eˣ, 2ˣ, 3ˣ, 8ˣ) can be transformed into a polynomial (usually quadratic or biquadratic) via substitution t = eˣ or similar, solve the polynomial, then map solutions back through the logarithm with domain filtering (t > 0).",Formula with Judgment,"The key step is recognizing the substitution t = eˣ and that the equation is polynomial in t. Once this setup is done, solving the quadratic and mapping back is standard. The difficulty lies in identifying what to substitute, not in the computation."
Q_M_20_040,N_M_21_003,Piecewise Decomposition via Absolute Value,"Decompose an equation involving absolute values into cases based on sign changes of the arguments, solve each piecewise-linear or piecewise-quadratic system, then validate solutions against domain constraints of each case.",Build Then Solve,"The primary cognitive load is in constructing the correct case decomposition: identifying breakpoints, setting up each piecewise equation, solving each case, and validating solutions against case constraints. Computation within each case is straightforward."
Q_M_20_041,N_M_21_008,Root Location via Discriminant-Sign Analysis,"Determine parameter ranges for which roots satisfy positional constraints (both roots negative, one root in (a,b), roots in a given interval) by combining discriminant ≥ 0, sign of f(a), f(b), and axis-of-symmetry conditions.",Build Then Solve,"Student must construct a multi-condition system (D ≥ 0, f(a) conditions, vertex location, leading coefficient sign) and intersect the resulting inequalities. The setup—knowing which conditions to impose—is the entire challenge."
Q_M_20_042,N_M_21_006,Conjugate-Pair Summation Trick,"Recognize that (√a + √b)ˣ + (√a − √b)ˣ = k can be solved by substituting t = (√a + √b)ˣ, noting the second term is 1/t (since the product of conjugate bases is 1 or a known constant), reducing to a quadratic in t.",Formula with Judgment,"Student must recognize the conjugate structure and recall that the product of conjugate surds equals 1, enabling the substitution t + 1/t = 10. The rest is routine quadratic solving."
Q_M_20_043,N_M_21_005,Exponential-to-Quadratic Substitution,"Recognize that an equation in exponential terms (eˣ, 2ˣ, 3ˣ, 8ˣ) can be transformed into a polynomial (usually quadratic or biquadratic) via substitution t = eˣ or similar, solve the polynomial, then map solutions back through the logarithm with domain filtering (t > 0).",Formula with Judgment,"The key step is recognizing the substitution t = eˣ and that the equation is polynomial in t. Once this setup is done, solving the quadratic and mapping back is standard. The difficulty lies in identifying what to substitute, not in the computation."
Q_M_20_044,N_M_21_010,Hidden Quadratic in Disguised Variable,"Recognize that a non-standard equation (involving √x, x + 1/x, [x], or a composite expression) conceals a quadratic in a transformed variable, perform the substitution, solve, then reverse-map with domain checks.",Build Then Solve,"The entire difficulty is in recognizing the disguise and performing the correct substitution. Once the quadratic is revealed, solving is standard. The cognitive work is representational."
Q_M_20_045,N_M_21_015,Linked-Equation Root Threading,"Given two or more quadratic equations sharing one root (α is a root of both), use Vieta's formulas on each equation to express the non-shared roots (β, γ) in terms of α and the parameter, then combine to find the target expression.",Build and Work Backwards,"Student must construct the setup across two equations sharing a root, express non-shared roots via Vieta's, and then work backwards from the target expression to determine the common root or parameter. This requires both construction and inversion."
Q_M_20_046,N_M_21_010,Hidden Quadratic in Disguised Variable,"Recognize that a non-standard equation (involving √x, x + 1/x, [x], or a composite expression) conceals a quadratic in a transformed variable, perform the substitution, solve, then reverse-map with domain checks.",Build Then Solve,"The entire difficulty is in recognizing the disguise and performing the correct substitution. Once the quadratic is revealed, solving is standard. The cognitive work is representational."
Q_M_20_047,N_M_21_001,Greatest Integer Interaction,"Solve equations or inequalities where [x] (greatest integer function) interacts with polynomial or exponential terms, requiring case-by-case analysis on integer intervals and validating that solutions are consistent with the assumed integer part.",Build Then Solve,"Student must partition the real line into unit intervals, substitute [x] = n in each, solve the resulting standard equation, and check consistency. The cognitive load is entirely in constructing and managing the case structure."
Q_M_20_048,N_M_21_010,Hidden Quadratic in Disguised Variable,"Recognize that a non-standard equation (involving √x, x + 1/x, [x], or a composite expression) conceals a quadratic in a transformed variable, perform the substitution, solve, then reverse-map with domain checks.",Build Then Solve,"The entire difficulty is in recognizing the disguise and performing the correct substitution. Once the quadratic is revealed, solving is standard. The cognitive work is representational."
Q_M_20_049,N_M_21_012,Sign-Chart Inequality Resolution,"Solve rational or polynomial inequalities by factoring, identifying critical points, and constructing a sign chart to determine solution intervals, often with domain exclusions.",Build Then Solve,"Student must factor the expression, identify all critical points (including those from absolute values or excluded domains), construct the sign chart, and handle open/closed interval endpoints. The reasoning is almost entirely in the setup phase."
Q_M_20_050,N_M_21_014,Quadratic Reconstruction from Constraints,"Build or identify a quadratic polynomial from indirect constraints (function values at specific points, remainder conditions, or functional equations) rather than from explicit coefficients, then extract the required root or coefficient information.",Build and Work Backwards,"Student must work backwards from functional constraints (f(a) = b, remainder conditions, functional equations) to determine coefficients, then extract root information. The direction of reasoning is inverted from the typical 'given equation, find roots' pattern."
Q_M_20_051,N_M_21_014,Quadratic Reconstruction from Constraints,"Build or identify a quadratic polynomial from indirect constraints (function values at specific points, remainder conditions, or functional equations) rather than from explicit coefficients, then extract the required root or coefficient information.",Build and Work Backwards,"Student must work backwards from functional constraints (f(a) = b, remainder conditions, functional equations) to determine coefficients, then extract root information. The direction of reasoning is inverted from the typical 'given equation, find roots' pattern."
Q_M_20_052,N_M_21_009,Optimization of Root-Dependent Expressions,"Express a target quantity (sum of squares, sum of cubes, or difference of roots) in terms of Vieta's sums using Newton's identities or direct expansion, then minimize or maximize the resulting single-variable function of the parameter.",Build and Work Backwards,"Student must first express the target quantity (sum of squares, cubes) in terms of sum and product of roots via Newton's identities (setup), then reformulate as a single-variable function and optimize (inversion of the problem from 'find roots' to 'minimize an expression in the parameter')."
Q_M_20_053,N_M_21_011,Roots of Unity / Cyclotomic Exploitation,"Recognize that a polynomial equation relates to roots of unity or cyclotomic polynomials, use the property that ωⁿ = 1 to collapse high-power expressions to known values.",Reverse Engineer,"Student must recognize the polynomial as cyclotomic, identify the periodicity of the roots, reduce large exponents modulo the period, and synthesize the result using properties never typically taught together (group theory intuition + polynomial roots + modular arithmetic). This requires framework synthesis."
Q_M_20_054,N_M_21_012,Sign-Chart Inequality Resolution,"Solve rational or polynomial inequalities by factoring, identifying critical points, and constructing a sign chart to determine solution intervals, often with domain exclusions.",Build Then Solve,"Student must factor the expression, identify all critical points (including those from absolute values or excluded domains), construct the sign chart, and handle open/closed interval endpoints. The reasoning is almost entirely in the setup phase."
Q_M_20_054,N_M_21_005,Exponential-to-Quadratic Substitution,"Recognize that an equation in exponential terms (eˣ, 2ˣ, 3ˣ, 8ˣ) can be transformed into a polynomial (usually quadratic or biquadratic) via substitution t = eˣ or similar, solve the polynomial, then map solutions back through the logarithm with domain filtering (t > 0).",Formula with Judgment,"The key step is recognizing the substitution t = eˣ and that the equation is polynomial in t. Once this setup is done, solving the quadratic and mapping back is standard. The difficulty lies in identifying what to substitute, not in the computation."
Q_M_20_055,N_M_21_009,Optimization of Root-Dependent Expressions,"Express a target quantity (sum of squares, sum of cubes, or difference of roots) in terms of Vieta's sums using Newton's identities or direct expansion, then minimize or maximize the resulting single-variable function of the parameter.",Build and Work Backwards,"Student must first express the target quantity (sum of squares, cubes) in terms of sum and product of roots via Newton's identities (setup), then reformulate as a single-variable function and optimize (inversion of the problem from 'find roots' to 'minimize an expression in the parameter')."
Q_M_20_056,N_M_21_011,Roots of Unity / Cyclotomic Exploitation,"Recognize that a polynomial equation relates to roots of unity or cyclotomic polynomials, use the property that ωⁿ = 1 to collapse high-power expressions to known values.",Reverse Engineer,"Student must recognize the polynomial as cyclotomic, identify the periodicity of the roots, reduce large exponents modulo the period, and synthesize the result using properties never typically taught together (group theory intuition + polynomial roots + modular arithmetic). This requires framework synthesis."
Q_M_20_057,N_M_21_014,Quadratic Reconstruction from Constraints,"Build or identify a quadratic polynomial from indirect constraints (function values at specific points, remainder conditions, or functional equations) rather than from explicit coefficients, then extract the required root or coefficient information.",Build and Work Backwards,"Student must work backwards from functional constraints (f(a) = b, remainder conditions, functional equations) to determine coefficients, then extract root information. The direction of reasoning is inverted from the typical 'given equation, find roots' pattern."
Q_M_20_058,N_M_21_012,Sign-Chart Inequality Resolution,"Solve rational or polynomial inequalities by factoring, identifying critical points, and constructing a sign chart to determine solution intervals, often with domain exclusions.",Build Then Solve,"Student must factor the expression, identify all critical points (including those from absolute values or excluded domains), construct the sign chart, and handle open/closed interval endpoints. The reasoning is almost entirely in the setup phase."
Q_M_20_059,N_M_21_012,Sign-Chart Inequality Resolution,"Solve rational or polynomial inequalities by factoring, identifying critical points, and constructing a sign chart to determine solution intervals, often with domain exclusions.",Build Then Solve,"Student must factor the expression, identify all critical points (including those from absolute values or excluded domains), construct the sign chart, and handle open/closed interval endpoints. The reasoning is almost entirely in the setup phase."
Q_M_20_060,N_M_21_015,Linked-Equation Root Threading,"Given two or more quadratic equations sharing one root (α is a root of both), use Vieta's formulas on each equation to express the non-shared roots (β, γ) in terms of α and the parameter, then combine to find the target expression.",Build and Work Backwards,"Student must construct the setup across two equations sharing a root, express non-shared roots via Vieta's, and then work backwards from the target expression to determine the common root or parameter. This requires both construction and inversion."
Q_M_20_061,N_M_21_005,Exponential-to-Quadratic Substitution,"Recognize that an equation in exponential terms (eˣ, 2ˣ, 3ˣ, 8ˣ) can be transformed into a polynomial (usually quadratic or biquadratic) via substitution t = eˣ or similar, solve the polynomial, then map solutions back through the logarithm with domain filtering (t > 0).",Formula with Judgment,"The key step is recognizing the substitution t = eˣ and that the equation is polynomial in t. Once this setup is done, solving the quadratic and mapping back is standard. The difficulty lies in identifying what to substitute, not in the computation."
Q_M_20_062,N_M_21_012,Sign-Chart Inequality Resolution,"Solve rational or polynomial inequalities by factoring, identifying critical points, and constructing a sign chart to determine solution intervals, often with domain exclusions.",Build Then Solve,"Student must factor the expression, identify all critical points (including those from absolute values or excluded domains), construct the sign chart, and handle open/closed interval endpoints. The reasoning is almost entirely in the setup phase."
Q_M_20_063,N_M_21_009,Optimization of Root-Dependent Expressions,"Express a target quantity (sum of squares, sum of cubes, or difference of roots) in terms of Vieta's sums using Newton's identities or direct expansion, then minimize or maximize the resulting single-variable function of the parameter.",Build and Work Backwards,"Student must first express the target quantity (sum of squares, cubes) in terms of sum and product of roots via Newton's identities (setup), then reformulate as a single-variable function and optimize (inversion of the problem from 'find roots' to 'minimize an expression in the parameter')."
Q_M_20_064,N_M_21_014,Quadratic Reconstruction from Constraints,"Build or identify a quadratic polynomial from indirect constraints (function values at specific points, remainder conditions, or functional equations) rather than from explicit coefficients, then extract the required root or coefficient information.",Build and Work Backwards,"Student must work backwards from functional constraints (f(a) = b, remainder conditions, functional equations) to determine coefficients, then extract root information. The direction of reasoning is inverted from the typical 'given equation, find roots' pattern."
Q_M_20_065,N_M_21_005,Exponential-to-Quadratic Substitution,"Recognize that an equation in exponential terms (eˣ, 2ˣ, 3ˣ, 8ˣ) can be transformed into a polynomial (usually quadratic or biquadratic) via substitution t = eˣ or similar, solve the polynomial, then map solutions back through the logarithm with domain filtering (t > 0).",Formula with Judgment,"The key step is recognizing the substitution t = eˣ and that the equation is polynomial in t. Once this setup is done, solving the quadratic and mapping back is standard. The difficulty lies in identifying what to substitute, not in the computation."
Q_M_20_066,N_M_21_014,Quadratic Reconstruction from Constraints,"Build or identify a quadratic polynomial from indirect constraints (function values at specific points, remainder conditions, or functional equations) rather than from explicit coefficients, then extract the required root or coefficient information.",Build and Work Backwards,"Student must work backwards from functional constraints (f(a) = b, remainder conditions, functional equations) to determine coefficients, then extract root information. The direction of reasoning is inverted from the typical 'given equation, find roots' pattern."
Q_M_20_067,N_M_21_010,Hidden Quadratic in Disguised Variable,"Recognize that a non-standard equation (involving √x, x + 1/x, [x], or a composite expression) conceals a quadratic in a transformed variable, perform the substitution, solve, then reverse-map with domain checks.",Build Then Solve,"The entire difficulty is in recognizing the disguise and performing the correct substitution. Once the quadratic is revealed, solving is standard. The cognitive work is representational."
Q_M_20_068,N_M_21_009,Optimization of Root-Dependent Expressions,"Express a target quantity (sum of squares, sum of cubes, or difference of roots) in terms of Vieta's sums using Newton's identities or direct expansion, then minimize or maximize the resulting single-variable function of the parameter.",Build and Work Backwards,"Student must first express the target quantity (sum of squares, cubes) in terms of sum and product of roots via Newton's identities (setup), then reformulate as a single-variable function and optimize (inversion of the problem from 'find roots' to 'minimize an expression in the parameter')."
Q_M_20_069,N_M_21_009,Optimization of Root-Dependent Expressions,"Express a target quantity (sum of squares, sum of cubes, or difference of roots) in terms of Vieta's sums using Newton's identities or direct expansion, then minimize or maximize the resulting single-variable function of the parameter.",Build and Work Backwards,"Student must first express the target quantity (sum of squares, cubes) in terms of sum and product of roots via Newton's identities (setup), then reformulate as a single-variable function and optimize (inversion of the problem from 'find roots' to 'minimize an expression in the parameter')."
Q_M_20_070,N_M_21_001,Greatest Integer Interaction,"Solve equations or inequalities where [x] (greatest integer function) interacts with polynomial or exponential terms, requiring case-by-case analysis on integer intervals and validating that solutions are consistent with the assumed integer part.",Build Then Solve,"Student must partition the real line into unit intervals, substitute [x] = n in each, solve the resulting standard equation, and check consistency. The cognitive load is entirely in constructing and managing the case structure."
Q_M_20_071,N_M_21_010,Hidden Quadratic in Disguised Variable,"Recognize that a non-standard equation (involving √x, x + 1/x, [x], or a composite expression) conceals a quadratic in a transformed variable, perform the substitution, solve, then reverse-map with domain checks.",Build Then Solve,"The entire difficulty is in recognizing the disguise and performing the correct substitution. Once the quadratic is revealed, solving is standard. The cognitive work is representational."
Q_M_20_072,N_M_21_005,Exponential-to-Quadratic Substitution,"Recognize that an equation in exponential terms (eˣ, 2ˣ, 3ˣ, 8ˣ) can be transformed into a polynomial (usually quadratic or biquadratic) via substitution t = eˣ or similar, solve the polynomial, then map solutions back through the logarithm with domain filtering (t > 0).",Formula with Judgment,"The key step is recognizing the substitution t = eˣ and that the equation is polynomial in t. Once this setup is done, solving the quadratic and mapping back is standard. The difficulty lies in identifying what to substitute, not in the computation."
Q_M_20_073,N_M_21_001,Greatest Integer Interaction,"Solve equations or inequalities where [x] (greatest integer function) interacts with polynomial or exponential terms, requiring case-by-case analysis on integer intervals and validating that solutions are consistent with the assumed integer part.",Build Then Solve,"Student must partition the real line into unit intervals, substitute [x] = n in each, solve the resulting standard equation, and check consistency. The cognitive load is entirely in constructing and managing the case structure."
Q_M_20_074,N_M_21_011,Roots of Unity / Cyclotomic Exploitation,"Recognize that a polynomial equation relates to roots of unity or cyclotomic polynomials, use the property that ωⁿ = 1 to collapse high-power expressions to known values.",Reverse Engineer,"Student must recognize the polynomial as cyclotomic, identify the periodicity of the roots, reduce large exponents modulo the period, and synthesize the result using properties never typically taught together (group theory intuition + polynomial roots + modular arithmetic). This requires framework synthesis."
Q_M_20_075,N_M_21_013,Continued Fraction to Quadratic,"Recognize that an infinite continued fraction defines a fixed-point equation, set up the self-referencing quadratic, solve, and select the appropriate root based on positivity or convergence constraints.",Formula with Judgment,Student must recognize the self-referential structure and set up x = 3 + 1/(4 + 1/x) or similar. The key insight is the setup; the resulting quadratic is trivial to solve.
Q_M_20_076,N_M_21_013,Continued Fraction to Quadratic,"Recognize that an infinite continued fraction defines a fixed-point equation, set up the self-referencing quadratic, solve, and select the appropriate root based on positivity or convergence constraints.",Formula with Judgment,Student must recognize the self-referential structure and set up x = 3 + 1/(4 + 1/x) or similar. The key insight is the setup; the resulting quadratic is trivial to solve.
Q_M_20_077,N_M_21_002,Recurrence Collapse,"Recognize that a high-power symmetric expression in roots (αⁿ + βⁿ or αⁿ − βⁿ) can be reduced via the recurrence relation Pₙ = (sum of roots)·Pₙ₋₁ − (product of roots)·Pₙ₋₂, then simplify the given composite expression to a constant.",Formula with Judgment to Build Then Solve,"When the expression directly telescopes via the recurrence (e.g., (a₁₀ − 2a₈)/2a₉), it is retrieval_to_setup: recall the recurrence and identify what to substitute. When the expression involves ratios of sums of different-indexed terms (e.g., (α²³ + β²³ + α¹⁴ + β¹⁴)/(α¹⁵ + β¹⁵ + α¹⁰ + β¹⁰)), the student must first construct a representation that factors out common recurrence applications, making it setup_heavy."
Q_M_20_078,N_M_21_008,Root Location via Discriminant-Sign Analysis,"Determine parameter ranges for which roots satisfy positional constraints (both roots negative, one root in (a,b), roots in a given interval) by combining discriminant ≥ 0, sign of f(a), f(b), and axis-of-symmetry conditions.",Build Then Solve,"Student must construct a multi-condition system (D ≥ 0, f(a) conditions, vertex location, leading coefficient sign) and intersect the resulting inequalities. The setup—knowing which conditions to impose—is the entire challenge."
Q_M_20_079,N_M_21_009,Optimization of Root-Dependent Expressions,"Express a target quantity (sum of squares, sum of cubes, or difference of roots) in terms of Vieta's sums using Newton's identities or direct expansion, then minimize or maximize the resulting single-variable function of the parameter.",Build and Work Backwards,"Student must first express the target quantity (sum of squares, cubes) in terms of sum and product of roots via Newton's identities (setup), then reformulate as a single-variable function and optimize (inversion of the problem from 'find roots' to 'minimize an expression in the parameter')."
Q_M_20_080,N_M_21_014,Quadratic Reconstruction from Constraints,"Build or identify a quadratic polynomial from indirect constraints (function values at specific points, remainder conditions, or functional equations) rather than from explicit coefficients, then extract the required root or coefficient information.",Build and Work Backwards,"Student must work backwards from functional constraints (f(a) = b, remainder conditions, functional equations) to determine coefficients, then extract root information. The direction of reasoning is inverted from the typical 'given equation, find roots' pattern."
