question_id,error_id,error_name,error_type,description
Q_M_14_059,ERR_M_15_012,Wrong 1^∞ Template,Procedural error,"The student recognizes a 1^∞ form but incorrectly applies lim f(x)^g(x) = e^{lim g(x)·ln(f(x))} without properly extracting the (f(x)-1) factor, leading to wrong algebraic manipulation in the exponent."
Q_M_14_060,ERR_M_15_005,Treating Limit as Derivative Without Verification,Setup error,"The student recognizes a limit resembles a derivative definition but misidentifies which function's derivative it represents, or incorrectly handles the algebraic rearrangement needed to match the standard definition form."
Q_M_14_060,ERR_M_15_001,Ignoring Derivative Matching for Differentiability,Conceptual error,"The student verifies continuity at a junction point and declares the function differentiable, forgetting that matching left and right derivatives is a separate and additional requirement."
Q_M_14_061,ERR_M_15_008,Missing the Numerator-Must-Vanish Constraint,Setup error,"When a limit equals a finite value and the denominator→0, the student forgets that the numerator must also→0, losing the first equation needed to determine unknown parameters."
Q_M_14_062,ERR_M_15_008,Missing the Numerator-Must-Vanish Constraint,Setup error,"When a limit equals a finite value and the denominator→0, the student forgets that the numerator must also→0, losing the first equation needed to determine unknown parameters."
Q_M_14_062,ERR_M_15_009,Insufficient Taylor Expansion Order,Procedural error,"The student expands sinx, cosx, eˣ, or log(1+x) to too few terms, causing premature cancellation that yields 0/0 again instead of the actual limit; the student either gives up or incorrectly concludes the limit is 0 or ∞."
Q_M_14_063,ERR_M_15_002,Absolute Value Sign Error at Zero Crossings,Procedural error,"When analyzing |f(x)|, the student either misidentifies the zeros of f(x) or incorrectly assigns the sign of f(x) in sub-intervals, leading to wrong derivative expressions on one side."
Q_M_14_063,ERR_M_15_001,Ignoring Derivative Matching for Differentiability,Conceptual error,"The student verifies continuity at a junction point and declares the function differentiable, forgetting that matching left and right derivatives is a separate and additional requirement."
Q_M_14_064,ERR_M_15_007,One-Sided Limit Conflation,Conceptual error,"The student computes only one one-sided limit (typically the right-hand limit) and assumes the function is continuous/differentiable without checking that the left-hand limit matches, especially near absolute value or floor function boundaries."
Q_M_14_065,ERR_M_15_010,Premature L'Hôpital Application,Procedural error,"The student applies L'Hôpital's rule without verifying that the form is actually 0/0 or ∞/∞, or applies it when simpler algebraic manipulation (factoring, standard limits) would be more efficient and less error-prone."
Q_M_14_066,ERR_M_15_008,Missing the Numerator-Must-Vanish Constraint,Setup error,"When a limit equals a finite value and the denominator→0, the student forgets that the numerator must also→0, losing the first equation needed to determine unknown parameters."
Q_M_14_066,ERR_M_15_009,Insufficient Taylor Expansion Order,Procedural error,"The student expands sinx, cosx, eˣ, or log(1+x) to too few terms, causing premature cancellation that yields 0/0 again instead of the actual limit; the student either gives up or incorrectly concludes the limit is 0 or ∞."
Q_M_14_067,ERR_M_15_005,Treating Limit as Derivative Without Verification,Setup error,"The student recognizes a limit resembles a derivative definition but misidentifies which function's derivative it represents, or incorrectly handles the algebraic rearrangement needed to match the standard definition form."
Q_M_14_068,ERR_M_15_009,Insufficient Taylor Expansion Order,Procedural error,"The student expands sinx, cosx, eˣ, or log(1+x) to too few terms, causing premature cancellation that yields 0/0 again instead of the actual limit; the student either gives up or incorrectly concludes the limit is 0 or ∞."
Q_M_14_069,ERR_M_15_004,Composition Domain Tracking Failure,Setup error,"When analyzing f∘g, the student evaluates g at a point but then applies the wrong piece of f because they fail to check which piece of f corresponds to the output value of g."
Q_M_14_069,ERR_M_15_007,One-Sided Limit Conflation,Conceptual error,"The student computes only one one-sided limit (typically the right-hand limit) and assumes the function is continuous/differentiable without checking that the left-hand limit matches, especially near absolute value or floor function boundaries."
Q_M_14_070,ERR_M_15_007,One-Sided Limit Conflation,Conceptual error,"The student computes only one one-sided limit (typically the right-hand limit) and assumes the function is continuous/differentiable without checking that the left-hand limit matches, especially near absolute value or floor function boundaries."
Q_M_14_070,ERR_M_15_008,Missing the Numerator-Must-Vanish Constraint,Setup error,"When a limit equals a finite value and the denominator→0, the student forgets that the numerator must also→0, losing the first equation needed to determine unknown parameters."
Q_M_14_071,ERR_M_15_010,Premature L'Hôpital Application,Procedural error,"The student applies L'Hôpital's rule without verifying that the form is actually 0/0 or ∞/∞, or applies it when simpler algebraic manipulation (factoring, standard limits) would be more efficient and less error-prone."
Q_M_14_072,ERR_M_15_006,Dropping Higher-Order Denominator Terms Prematurely,Procedural error,"In expressions like x·sin²x or x·tan²x in the denominator, the student replaces sin²x with x² immediately but forgets that the remaining cos or higher-order correction terms in the numerator still matter at the required order of cancellation."
Q_M_14_073,ERR_M_15_010,Premature L'Hôpital Application,Procedural error,"The student applies L'Hôpital's rule without verifying that the form is actually 0/0 or ∞/∞, or applies it when simpler algebraic manipulation (factoring, standard limits) would be more efficient and less error-prone."
Q_M_14_074,ERR_M_15_004,Composition Domain Tracking Failure,Setup error,"When analyzing f∘g, the student evaluates g at a point but then applies the wrong piece of f because they fail to check which piece of f corresponds to the output value of g."
Q_M_14_074,ERR_M_15_007,One-Sided Limit Conflation,Conceptual error,"The student computes only one one-sided limit (typically the right-hand limit) and assumes the function is continuous/differentiable without checking that the left-hand limit matches, especially near absolute value or floor function boundaries."
Q_M_14_075,ERR_M_15_010,Premature L'Hôpital Application,Procedural error,"The student applies L'Hôpital's rule without verifying that the form is actually 0/0 or ∞/∞, or applies it when simpler algebraic manipulation (factoring, standard limits) would be more efficient and less error-prone."
Q_M_10_001,ERR_M_11_002,Conflating one-one with onto,Conceptual error,"The student concludes a function is bijective after checking only injectivity (or only surjectivity), ignoring that the codomain may be larger than the range or that the domain may not map to all elements."
Q_M_10_002,ERR_M_11_001,Composition branch mismatch,Conceptual error,"In fog with piecewise f and g, the student evaluates g(x) correctly but then uses the wrong branch of f because they check whether x (not g(x)) satisfies the branch condition of f."
Q_M_10_003,ERR_M_11_003,Wrong substitution in functional equation system,Setup error,"When solving f(x) + 2f(1/x) = 3x, the student substitutes x → −x instead of x → 1/x, generating an equation that does not form a solvable system with the original."
Q_M_10_004,ERR_M_11_009,GIF boundary misclassification,Conceptual error,"At integer boundary points, the student assigns [x] to the wrong integer (e.g., [3] = 2 or mishandling negative integers where [−1.5] = −2 not −1), propagating through the entire piecewise analysis."
Q_M_10_005,ERR_M_11_007,Missed constraint layer in nested domains,Setup error,"When finding the domain of nested compositions like log(log(log(...))), the student forgets to enforce the positivity constraint at one intermediate layer, yielding a superset of the actual domain."
Q_M_10_005,ERR_M_11_006,Incorrect inequality direction for inverse trig argument,Conceptual error,"The student writes the constraint for sin⁻¹(g(x)) as g(x) ∈ [0, 1] instead of g(x) ∈ [−1, 1], or forgets that cos⁻¹ requires [−1, 1] while the argument is a rational function that can be negative."
Q_M_10_006,ERR_M_11_003,Wrong substitution in functional equation system,Setup error,"When solving f(x) + 2f(1/x) = 3x, the student substitutes x → −x instead of x → 1/x, generating an equation that does not form a solvable system with the original."
Q_M_10_007,ERR_M_11_006,Incorrect inequality direction for inverse trig argument,Conceptual error,"The student writes the constraint for sin⁻¹(g(x)) as g(x) ∈ [0, 1] instead of g(x) ∈ [−1, 1], or forgets that cos⁻¹ requires [−1, 1] while the argument is a rational function that can be negative."
Q_M_10_007,ERR_M_11_011,Log base confusion in domain problems,Setup error,"In expressions like log_{x-1}(expression), the student forgets to enforce both base > 0, base ≠ 1 AND argument > 0, typically omitting the base ≠ 1 condition."
Q_M_10_008,ERR_M_11_005,Discriminant sign error in range computation,Procedural error,"When setting y = f(x) and rearranging to a quadratic in x, the student requires D > 0 instead of D ≥ 0, or miscalculates the discriminant by dropping a sign from the cross term."
Q_M_10_008,ERR_M_11_010,Forgetting domain exclusions after range computation,Setup error,"After computing the range of f(x) = rational function by the discriminant method, the student includes y-values that correspond to x-values excluded from the domain (e.g., x = 2 making denominator zero), yielding extraneous range values."
Q_M_10_009,ERR_M_11_007,Missed constraint layer in nested domains,Setup error,"When finding the domain of nested compositions like log(log(log(...))), the student forgets to enforce the positivity constraint at one intermediate layer, yielding a superset of the actual domain."
Q_M_10_009,ERR_M_11_006,Incorrect inequality direction for inverse trig argument,Conceptual error,"The student writes the constraint for sin⁻¹(g(x)) as g(x) ∈ [0, 1] instead of g(x) ∈ [−1, 1], or forgets that cos⁻¹ requires [−1, 1] while the argument is a rational function that can be negative."
Q_M_10_010,ERR_M_11_001,Composition branch mismatch,Conceptual error,"In fog with piecewise f and g, the student evaluates g(x) correctly but then uses the wrong branch of f because they check whether x (not g(x)) satisfies the branch condition of f."
Q_M_10_011,ERR_M_11_003,Wrong substitution in functional equation system,Setup error,"When solving f(x) + 2f(1/x) = 3x, the student substitutes x → −x instead of x → 1/x, generating an equation that does not form a solvable system with the original."
Q_M_10_012,ERR_M_11_007,Missed constraint layer in nested domains,Setup error,"When finding the domain of nested compositions like log(log(log(...))), the student forgets to enforce the positivity constraint at one intermediate layer, yielding a superset of the actual domain."
Q_M_10_013,ERR_M_11_006,Incorrect inequality direction for inverse trig argument,Conceptual error,"The student writes the constraint for sin⁻¹(g(x)) as g(x) ∈ [0, 1] instead of g(x) ∈ [−1, 1], or forgets that cos⁻¹ requires [−1, 1] while the argument is a rational function that can be negative."
Q_M_10_014,ERR_M_11_007,Missed constraint layer in nested domains,Setup error,"When finding the domain of nested compositions like log(log(log(...))), the student forgets to enforce the positivity constraint at one intermediate layer, yielding a superset of the actual domain."
Q_M_10_015,ERR_M_11_011,Log base confusion in domain problems,Setup error,"In expressions like log_{x-1}(expression), the student forgets to enforce both base > 0, base ≠ 1 AND argument > 0, typically omitting the base ≠ 1 condition."
Q_M_10_016,ERR_M_11_002,Conflating one-one with onto,Conceptual error,"The student concludes a function is bijective after checking only injectivity (or only surjectivity), ignoring that the codomain may be larger than the range or that the domain may not map to all elements."
Q_M_10_017,ERR_M_11_004,Symmetric pairing off-by-one,Procedural error,"In symmetry summations like f(k/n) + f(1 − k/n) = 1, the student miscounts the number of pairs (e.g., including or excluding the middle term when n is even/odd), leading to an answer that is off by 0.5 or 1."
Q_M_10_018,ERR_M_11_003,Wrong substitution in functional equation system,Setup error,"When solving f(x) + 2f(1/x) = 3x, the student substitutes x → −x instead of x → 1/x, generating an equation that does not form a solvable system with the original."
Q_M_10_019,ERR_M_11_002,Conflating one-one with onto,Conceptual error,"The student concludes a function is bijective after checking only injectivity (or only surjectivity), ignoring that the codomain may be larger than the range or that the domain may not map to all elements."
Q_M_10_020,ERR_M_11_004,Symmetric pairing off-by-one,Procedural error,"In symmetry summations like f(k/n) + f(1 − k/n) = 1, the student miscounts the number of pairs (e.g., including or excluding the middle term when n is even/odd), leading to an answer that is off by 0.5 or 1."
Q_M_10_021,ERR_M_11_007,Missed constraint layer in nested domains,Setup error,"When finding the domain of nested compositions like log(log(log(...))), the student forgets to enforce the positivity constraint at one intermediate layer, yielding a superset of the actual domain."
Q_M_10_022,ERR_M_11_008,Overcounting in constrained function enumeration,Procedural error,"When counting functions satisfying f(1)+f(2)=f(3) on finite sets, the student counts all solutions to the arithmetic constraint without checking that the resulting values lie within the codomain, or double-counts symmetric cases."
Q_M_10_023,ERR_M_11_005,Discriminant sign error in range computation,Procedural error,"When setting y = f(x) and rearranging to a quadratic in x, the student requires D > 0 instead of D ≥ 0, or miscalculates the discriminant by dropping a sign from the cross term."
Q_M_10_024,ERR_M_11_006,Incorrect inequality direction for inverse trig argument,Conceptual error,"The student writes the constraint for sin⁻¹(g(x)) as g(x) ∈ [0, 1] instead of g(x) ∈ [−1, 1], or forgets that cos⁻¹ requires [−1, 1] while the argument is a rational function that can be negative."
Q_M_10_025,ERR_M_11_002,Conflating one-one with onto,Conceptual error,"The student concludes a function is bijective after checking only injectivity (or only surjectivity), ignoring that the codomain may be larger than the range or that the domain may not map to all elements."
Q_M_10_026,ERR_M_11_005,Discriminant sign error in range computation,Procedural error,"When setting y = f(x) and rearranging to a quadratic in x, the student requires D > 0 instead of D ≥ 0, or miscalculates the discriminant by dropping a sign from the cross term."
Q_M_10_027,ERR_M_11_005,Discriminant sign error in range computation,Procedural error,"When setting y = f(x) and rearranging to a quadratic in x, the student requires D > 0 instead of D ≥ 0, or miscalculates the discriminant by dropping a sign from the cross term."
Q_M_10_028,ERR_M_11_005,Discriminant sign error in range computation,Procedural error,"When setting y = f(x) and rearranging to a quadratic in x, the student requires D > 0 instead of D ≥ 0, or miscalculates the discriminant by dropping a sign from the cross term."
Q_M_10_028,ERR_M_11_002,Conflating one-one with onto,Conceptual error,"The student concludes a function is bijective after checking only injectivity (or only surjectivity), ignoring that the codomain may be larger than the range or that the domain may not map to all elements."
Q_M_10_029,ERR_M_11_001,Composition branch mismatch,Conceptual error,"In fog with piecewise f and g, the student evaluates g(x) correctly but then uses the wrong branch of f because they check whether x (not g(x)) satisfies the branch condition of f."
Q_M_10_030,ERR_M_11_008,Overcounting in constrained function enumeration,Procedural error,"When counting functions satisfying f(1)+f(2)=f(3) on finite sets, the student counts all solutions to the arithmetic constraint without checking that the resulting values lie within the codomain, or double-counts symmetric cases."
Q_M_10_031,ERR_M_11_007,Missed constraint layer in nested domains,Setup error,"When finding the domain of nested compositions like log(log(log(...))), the student forgets to enforce the positivity constraint at one intermediate layer, yielding a superset of the actual domain."
Q_M_10_032,ERR_M_11_001,Composition branch mismatch,Conceptual error,"In fog with piecewise f and g, the student evaluates g(x) correctly but then uses the wrong branch of f because they check whether x (not g(x)) satisfies the branch condition of f."
Q_M_10_033,ERR_M_11_001,Composition branch mismatch,Conceptual error,"In fog with piecewise f and g, the student evaluates g(x) correctly but then uses the wrong branch of f because they check whether x (not g(x)) satisfies the branch condition of f."
Q_M_10_034,ERR_M_11_006,Incorrect inequality direction for inverse trig argument,Conceptual error,"The student writes the constraint for sin⁻¹(g(x)) as g(x) ∈ [0, 1] instead of g(x) ∈ [−1, 1], or forgets that cos⁻¹ requires [−1, 1] while the argument is a rational function that can be negative."
Q_M_10_034,ERR_M_11_011,Log base confusion in domain problems,Setup error,"In expressions like log_{x-1}(expression), the student forgets to enforce both base > 0, base ≠ 1 AND argument > 0, typically omitting the base ≠ 1 condition."
Q_M_10_035,ERR_M_11_006,Incorrect inequality direction for inverse trig argument,Conceptual error,"The student writes the constraint for sin⁻¹(g(x)) as g(x) ∈ [0, 1] instead of g(x) ∈ [−1, 1], or forgets that cos⁻¹ requires [−1, 1] while the argument is a rational function that can be negative."
Q_M_10_035,ERR_M_11_011,Log base confusion in domain problems,Setup error,"In expressions like log_{x-1}(expression), the student forgets to enforce both base > 0, base ≠ 1 AND argument > 0, typically omitting the base ≠ 1 condition."
Q_M_10_036,ERR_M_11_001,Composition branch mismatch,Conceptual error,"In fog with piecewise f and g, the student evaluates g(x) correctly but then uses the wrong branch of f because they check whether x (not g(x)) satisfies the branch condition of f."
Q_M_10_037,ERR_M_11_001,Composition branch mismatch,Conceptual error,"In fog with piecewise f and g, the student evaluates g(x) correctly but then uses the wrong branch of f because they check whether x (not g(x)) satisfies the branch condition of f."
Q_M_10_038,ERR_M_11_002,Conflating one-one with onto,Conceptual error,"The student concludes a function is bijective after checking only injectivity (or only surjectivity), ignoring that the codomain may be larger than the range or that the domain may not map to all elements."
Q_M_10_039,ERR_M_11_006,Incorrect inequality direction for inverse trig argument,Conceptual error,"The student writes the constraint for sin⁻¹(g(x)) as g(x) ∈ [0, 1] instead of g(x) ∈ [−1, 1], or forgets that cos⁻¹ requires [−1, 1] while the argument is a rational function that can be negative."
Q_M_10_040,ERR_M_11_003,Wrong substitution in functional equation system,Setup error,"When solving f(x) + 2f(1/x) = 3x, the student substitutes x → −x instead of x → 1/x, generating an equation that does not form a solvable system with the original."
Q_M_10_041,ERR_M_11_009,GIF boundary misclassification,Conceptual error,"At integer boundary points, the student assigns [x] to the wrong integer (e.g., [3] = 2 or mishandling negative integers where [−1.5] = −2 not −1), propagating through the entire piecewise analysis."
Q_M_10_041,ERR_M_11_007,Missed constraint layer in nested domains,Setup error,"When finding the domain of nested compositions like log(log(log(...))), the student forgets to enforce the positivity constraint at one intermediate layer, yielding a superset of the actual domain."
Q_M_10_042,ERR_M_11_009,GIF boundary misclassification,Conceptual error,"At integer boundary points, the student assigns [x] to the wrong integer (e.g., [3] = 2 or mishandling negative integers where [−1.5] = −2 not −1), propagating through the entire piecewise analysis."
Q_M_10_043,ERR_M_11_003,Wrong substitution in functional equation system,Setup error,"When solving f(x) + 2f(1/x) = 3x, the student substitutes x → −x instead of x → 1/x, generating an equation that does not form a solvable system with the original."
Q_M_10_044,ERR_M_11_009,GIF boundary misclassification,Conceptual error,"At integer boundary points, the student assigns [x] to the wrong integer (e.g., [3] = 2 or mishandling negative integers where [−1.5] = −2 not −1), propagating through the entire piecewise analysis."
Q_M_10_045,ERR_M_11_003,Wrong substitution in functional equation system,Setup error,"When solving f(x) + 2f(1/x) = 3x, the student substitutes x → −x instead of x → 1/x, generating an equation that does not form a solvable system with the original."
Q_M_10_046,ERR_M_11_005,Discriminant sign error in range computation,Procedural error,"When setting y = f(x) and rearranging to a quadratic in x, the student requires D > 0 instead of D ≥ 0, or miscalculates the discriminant by dropping a sign from the cross term."
Q_M_10_047,ERR_M_11_005,Discriminant sign error in range computation,Procedural error,"When setting y = f(x) and rearranging to a quadratic in x, the student requires D > 0 instead of D ≥ 0, or miscalculates the discriminant by dropping a sign from the cross term."
Q_M_10_047,ERR_M_11_010,Forgetting domain exclusions after range computation,Setup error,"After computing the range of f(x) = rational function by the discriminant method, the student includes y-values that correspond to x-values excluded from the domain (e.g., x = 2 making denominator zero), yielding extraneous range values."
Q_M_10_048,ERR_M_11_009,GIF boundary misclassification,Conceptual error,"At integer boundary points, the student assigns [x] to the wrong integer (e.g., [3] = 2 or mishandling negative integers where [−1.5] = −2 not −1), propagating through the entire piecewise analysis."
Q_M_10_049,ERR_M_11_009,GIF boundary misclassification,Conceptual error,"At integer boundary points, the student assigns [x] to the wrong integer (e.g., [3] = 2 or mishandling negative integers where [−1.5] = −2 not −1), propagating through the entire piecewise analysis."
Q_M_10_050,ERR_M_11_005,Discriminant sign error in range computation,Procedural error,"When setting y = f(x) and rearranging to a quadratic in x, the student requires D > 0 instead of D ≥ 0, or miscalculates the discriminant by dropping a sign from the cross term."
Q_M_10_051,ERR_M_11_003,Wrong substitution in functional equation system,Setup error,"When solving f(x) + 2f(1/x) = 3x, the student substitutes x → −x instead of x → 1/x, generating an equation that does not form a solvable system with the original."
Q_M_10_052,ERR_M_11_011,Log base confusion in domain problems,Setup error,"In expressions like log_{x-1}(expression), the student forgets to enforce both base > 0, base ≠ 1 AND argument > 0, typically omitting the base ≠ 1 condition."
Q_M_10_053,ERR_M_11_005,Discriminant sign error in range computation,Procedural error,"When setting y = f(x) and rearranging to a quadratic in x, the student requires D > 0 instead of D ≥ 0, or miscalculates the discriminant by dropping a sign from the cross term."
Q_M_10_053,ERR_M_11_002,Conflating one-one with onto,Conceptual error,"The student concludes a function is bijective after checking only injectivity (or only surjectivity), ignoring that the codomain may be larger than the range or that the domain may not map to all elements."
Q_M_10_054,ERR_M_11_008,Overcounting in constrained function enumeration,Procedural error,"When counting functions satisfying f(1)+f(2)=f(3) on finite sets, the student counts all solutions to the arithmetic constraint without checking that the resulting values lie within the codomain, or double-counts symmetric cases."
Q_M_10_055,ERR_M_11_005,Discriminant sign error in range computation,Procedural error,"When setting y = f(x) and rearranging to a quadratic in x, the student requires D > 0 instead of D ≥ 0, or miscalculates the discriminant by dropping a sign from the cross term."
Q_M_10_056,ERR_M_11_003,Wrong substitution in functional equation system,Setup error,"When solving f(x) + 2f(1/x) = 3x, the student substitutes x → −x instead of x → 1/x, generating an equation that does not form a solvable system with the original."
Q_M_10_057,ERR_M_11_003,Wrong substitution in functional equation system,Setup error,"When solving f(x) + 2f(1/x) = 3x, the student substitutes x → −x instead of x → 1/x, generating an equation that does not form a solvable system with the original."
Q_M_10_058,ERR_M_11_004,Symmetric pairing off-by-one,Procedural error,"In symmetry summations like f(k/n) + f(1 − k/n) = 1, the student miscounts the number of pairs (e.g., including or excluding the middle term when n is even/odd), leading to an answer that is off by 0.5 or 1."
Q_M_10_059,ERR_M_11_003,Wrong substitution in functional equation system,Setup error,"When solving f(x) + 2f(1/x) = 3x, the student substitutes x → −x instead of x → 1/x, generating an equation that does not form a solvable system with the original."
Q_M_10_060,ERR_M_11_002,Conflating one-one with onto,Conceptual error,"The student concludes a function is bijective after checking only injectivity (or only surjectivity), ignoring that the codomain may be larger than the range or that the domain may not map to all elements."
Q_M_10_061,ERR_M_11_002,Conflating one-one with onto,Conceptual error,"The student concludes a function is bijective after checking only injectivity (or only surjectivity), ignoring that the codomain may be larger than the range or that the domain may not map to all elements."
Q_M_10_062,ERR_M_11_008,Overcounting in constrained function enumeration,Procedural error,"When counting functions satisfying f(1)+f(2)=f(3) on finite sets, the student counts all solutions to the arithmetic constraint without checking that the resulting values lie within the codomain, or double-counts symmetric cases."
Q_M_10_063,ERR_M_11_008,Overcounting in constrained function enumeration,Procedural error,"When counting functions satisfying f(1)+f(2)=f(3) on finite sets, the student counts all solutions to the arithmetic constraint without checking that the resulting values lie within the codomain, or double-counts symmetric cases."
Q_M_10_064,ERR_M_11_002,Conflating one-one with onto,Conceptual error,"The student concludes a function is bijective after checking only injectivity (or only surjectivity), ignoring that the codomain may be larger than the range or that the domain may not map to all elements."
Q_M_10_065,ERR_M_11_005,Discriminant sign error in range computation,Procedural error,"When setting y = f(x) and rearranging to a quadratic in x, the student requires D > 0 instead of D ≥ 0, or miscalculates the discriminant by dropping a sign from the cross term."
Q_M_10_065,ERR_M_11_002,Conflating one-one with onto,Conceptual error,"The student concludes a function is bijective after checking only injectivity (or only surjectivity), ignoring that the codomain may be larger than the range or that the domain may not map to all elements."
Q_M_10_066,ERR_M_11_001,Composition branch mismatch,Conceptual error,"In fog with piecewise f and g, the student evaluates g(x) correctly but then uses the wrong branch of f because they check whether x (not g(x)) satisfies the branch condition of f."
Q_M_10_067,ERR_M_11_003,Wrong substitution in functional equation system,Setup error,"When solving f(x) + 2f(1/x) = 3x, the student substitutes x → −x instead of x → 1/x, generating an equation that does not form a solvable system with the original."
Q_M_10_068,ERR_M_11_001,Composition branch mismatch,Conceptual error,"In fog with piecewise f and g, the student evaluates g(x) correctly but then uses the wrong branch of f because they check whether x (not g(x)) satisfies the branch condition of f."
Q_M_10_069,ERR_M_11_005,Discriminant sign error in range computation,Procedural error,"When setting y = f(x) and rearranging to a quadratic in x, the student requires D > 0 instead of D ≥ 0, or miscalculates the discriminant by dropping a sign from the cross term."
Q_M_10_070,ERR_M_11_003,Wrong substitution in functional equation system,Setup error,"When solving f(x) + 2f(1/x) = 3x, the student substitutes x → −x instead of x → 1/x, generating an equation that does not form a solvable system with the original."
Q_M_10_071,ERR_M_11_003,Wrong substitution in functional equation system,Setup error,"When solving f(x) + 2f(1/x) = 3x, the student substitutes x → −x instead of x → 1/x, generating an equation that does not form a solvable system with the original."
Q_M_10_072,ERR_M_11_002,Conflating one-one with onto,Conceptual error,"The student concludes a function is bijective after checking only injectivity (or only surjectivity), ignoring that the codomain may be larger than the range or that the domain may not map to all elements."
Q_M_10_073,ERR_M_11_002,Conflating one-one with onto,Conceptual error,"The student concludes a function is bijective after checking only injectivity (or only surjectivity), ignoring that the codomain may be larger than the range or that the domain may not map to all elements."
Q_M_10_074,ERR_M_11_001,Composition branch mismatch,Conceptual error,"In fog with piecewise f and g, the student evaluates g(x) correctly but then uses the wrong branch of f because they check whether x (not g(x)) satisfies the branch condition of f."
Q_M_10_075,ERR_M_11_009,GIF boundary misclassification,Conceptual error,"At integer boundary points, the student assigns [x] to the wrong integer (e.g., [3] = 2 or mishandling negative integers where [−1.5] = −2 not −1), propagating through the entire piecewise analysis."
Q_M_22_001,ERR_M_23_006,Domain Boundary Misread in Absolute-Value Sets,Procedural error,"When resolving nested absolute-value inequalities like |(|x−3|−3)| ≤ 1, the student drops a branch or mishandles the sign split, producing an incorrect membership list that propagates through all subsequent counting."
Q_M_22_001,ERR_M_23_002,Off-by-One in Enumeration,Procedural error,"When enumerating integer solutions to inequalities like 4x² + y² < 52, the student misclassifies boundary cases (strict vs. non-strict inequality) or miscounts by omitting zero or negative values."
Q_M_22_002,ERR_M_23_007,Symmetry-Reflexivity Conflation,Conceptual error,"The student conflates the diagonal elements (a,a) needed for reflexivity with the symmetric-pair additions, either double-counting pairs of the form (a,a) or omitting them when computing deficits for reflexivity vs. symmetry simultaneously."
Q_M_22_003,ERR_M_23_007,Symmetry-Reflexivity Conflation,Conceptual error,"The student conflates the diagonal elements (a,a) needed for reflexivity with the symmetric-pair additions, either double-counting pairs of the form (a,a) or omitting them when computing deficits for reflexivity vs. symmetry simultaneously."
Q_M_22_003,ERR_M_23_002,Off-by-One in Enumeration,Procedural error,"When enumerating integer solutions to inequalities like 4x² + y² < 52, the student misclassifies boundary cases (strict vs. non-strict inequality) or miscounts by omitting zero or negative values."
Q_M_22_004,ERR_M_23_002,Off-by-One in Enumeration,Procedural error,"When enumerating integer solutions to inequalities like 4x² + y² < 52, the student misclassifies boundary cases (strict vs. non-strict inequality) or miscounts by omitting zero or negative values."
Q_M_22_005,ERR_M_23_002,Off-by-One in Enumeration,Procedural error,"When enumerating integer solutions to inequalities like 4x² + y² < 52, the student misclassifies boundary cases (strict vs. non-strict inequality) or miscounts by omitting zero or negative values."
Q_M_22_005,ERR_M_23_007,Symmetry-Reflexivity Conflation,Conceptual error,"The student conflates the diagonal elements (a,a) needed for reflexivity with the symmetric-pair additions, either double-counting pairs of the form (a,a) or omitting them when computing deficits for reflexivity vs. symmetry simultaneously."
Q_M_22_006,ERR_M_23_006,Domain Boundary Misread in Absolute-Value Sets,Procedural error,"When resolving nested absolute-value inequalities like |(|x−3|−3)| ≤ 1, the student drops a branch or mishandles the sign split, producing an incorrect membership list that propagates through all subsequent counting."
Q_M_22_007,ERR_M_23_002,Off-by-One in Enumeration,Procedural error,"When enumerating integer solutions to inequalities like 4x² + y² < 52, the student misclassifies boundary cases (strict vs. non-strict inequality) or miscounts by omitting zero or negative values."
Q_M_22_007,ERR_M_23_007,Symmetry-Reflexivity Conflation,Conceptual error,"The student conflates the diagonal elements (a,a) needed for reflexivity with the symmetric-pair additions, either double-counting pairs of the form (a,a) or omitting them when computing deficits for reflexivity vs. symmetry simultaneously."
Q_M_22_008,ERR_M_23_007,Symmetry-Reflexivity Conflation,Conceptual error,"The student conflates the diagonal elements (a,a) needed for reflexivity with the symmetric-pair additions, either double-counting pairs of the form (a,a) or omitting them when computing deficits for reflexivity vs. symmetry simultaneously."
Q_M_22_009,ERR_M_23_002,Off-by-One in Enumeration,Procedural error,"When enumerating integer solutions to inequalities like 4x² + y² < 52, the student misclassifies boundary cases (strict vs. non-strict inequality) or miscounts by omitting zero or negative values."
Q_M_22_009,ERR_M_23_004,Transitivity Counterexample Oversight,Procedural error,"The student checks transitivity only on 'obvious' triples and misses a counterexample buried in a large relation, particularly when the relation is defined by an inequality (like 2+ab > 0) where sign combinations can produce unexpected failures."
Q_M_22_010,ERR_M_23_006,Domain Boundary Misread in Absolute-Value Sets,Procedural error,"When resolving nested absolute-value inequalities like |(|x−3|−3)| ≤ 1, the student drops a branch or mishandles the sign split, producing an incorrect membership list that propagates through all subsequent counting."
Q_M_22_011,ERR_M_23_007,Symmetry-Reflexivity Conflation,Conceptual error,"The student conflates the diagonal elements (a,a) needed for reflexivity with the symmetric-pair additions, either double-counting pairs of the form (a,a) or omitting them when computing deficits for reflexivity vs. symmetry simultaneously."
Q_M_22_011,ERR_M_23_002,Off-by-One in Enumeration,Procedural error,"When enumerating integer solutions to inequalities like 4x² + y² < 52, the student misclassifies boundary cases (strict vs. non-strict inequality) or miscounts by omitting zero or negative values."
Q_M_22_012,ERR_M_23_002,Off-by-One in Enumeration,Procedural error,"When enumerating integer solutions to inequalities like 4x² + y² < 52, the student misclassifies boundary cases (strict vs. non-strict inequality) or miscounts by omitting zero or negative values."
